iso3,M49,Country_name,group1,group2,group3,years,CV_GDP,CV_POP,CV_CC,CV_GE,CV_ODA_PC,CV_FDI,CV_FDI_PC,CV_FDI_GDP,GVT_TOTAL,GVT_ECON_AFFAIRS,GVT_AGRI_FORESTRY,GVT_ENERGY,GVT_INDUSTRY,GVT_TRANSPORT,GVT_COMMUNICATION,GVT_ENV_PROTECTION,GVT_HOUSING_AMEN,GVT_HEALTH,GVT_EDUCATION,GVT_SOCIAL_PROTECTION,GVT_OTHER,GVT_TOTAL_PC,GVT_ECON_AFFAIRS_PC,GVT_AGRI_FORESTRY_PC,GVT_ENERGY_PC,GVT_INDUSTRY_PC,GVT_TRANSPORT_PC,GVT_COMMUNICATION_PC,GVT_ENV_PROTECTION_PC,GVT_HOUSING_AMEN_PC,GVT_HEALTH_PC,GVT_EDUCATION_PC,GVT_SOCIAL_PROTECTION_PC,GVT_OTHER_PC,X1.14,X1.56,X1.57,X1.58,X1.62,X1.63,X1.64,X1.77,X1.78,X1.79,X1.80
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2000,4367000000.0,20130327,4.787233829,0.0,6.756472188,170000.0,0.00844497,0.003892833,2229.0,1038.0,104.0,183.0,7.0,443.0,50.0,37.0,36.0,96.0,324.0,61.0,635.0,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,24.0,110.1,104.7,115.2,131.7,126.9,136.2,14.3,55.5,55.1,56.0
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2001,4367000000.0,20284307,4.774569273,1.081081033,20.23041681,680000.0,0.033523452,0.01557133,2229.0,1038.0,104.0,183.0,7.0,443.0,50.0,37.0,36.0,96.0,324.0,61.0,635.0,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,33.0,107.0,101.9,111.9,127.4,122.9,131.8,14.3,55.2,54.7,55.6
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2002,4367000000.0,21378117,4.761904716,2.162162066,57.22159903,50000000.0,2.338840226,1.144950767,2229.0,1038.0,104.0,183.0,7.0,443.0,50.0,37.0,36.0,96.0,324.0,61.0,635.0,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,36.0,103.8,99.1,108.4,123.1,118.9,127.2,14.3,54.4,53.9,54.8
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2003,4553000000.0,22733049,4.761904716,9.729729652,67.66492169,57800000.0,2.542553795,1.269492642,2229.0,1038.0,104.0,183.0,7.0,443.0,50.0,37.0,36.0,96.0,324.0,61.0,635.0,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,41.0,100.6,95.9,105.1,118.7,114.4,122.9,14.3,53.4,52.9,53.8
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2004,5146000000.0,23560654,6.403940678,16.91542244,96.28460739,186900000.0,7.932716978,3.631947143,2229.0,1038.0,104.0,183.0,7.0,443.0,50.0,37.0,36.0,96.0,324.0,61.0,635.0,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,50.0,97.2,92.4,101.6,114.2,109.8,118.4,17.15714286,52.4,51.9,52.8
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2005,6167000000.0,24404567,1.463414669,9.313725471,115.3512942,271000000.0,11.10447893,4.394357062,2229.0,1038.0,104.0,183.0,7.0,443.0,50.0,37.0,36.0,96.0,324.0,61.0,635.0,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,58.0,93.7,89.1,98.0,109.7,105.3,113.8,20.01428571,51.3,50.9,51.8
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2006,6925000000.0,25424094,1.951219559,4.390244007,113.9009464,238000000.0,9.361198869,3.436823105,2229.0,1038.0,104.0,183.0,7.0,443.0,50.0,37.0,36.0,96.0,324.0,61.0,635.0,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,58.0,90.1,85.6,94.4,105.1,100.7,109.3,22.87142857,50.3,49.8,50.7
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2007,8556000000.0,25909852,0.970873773,4.368932247,192.305703,188690000.0,7.282558001,2.205352969,3303.0,1556.0,246.0,280.0,30.0,330.0,76.0,12.0,106.0,203.0,357.0,116.0,952.0,127.4804657,60.05437623,9.494457938,10.80670009,1.157860724,12.73646797,2.933247168,0.46314429,4.091107892,7.834857567,13.77854262,4.477061467,36.74278031,63.0,86.7,82.2,90.9,100.7,96.3,104.8,25.72857143,49.0,48.6,49.5
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2008,10297000000.0,26482622,0.485436887,3.398058176,181.6742853,46033740.0,1.738262171,0.447059726,9288.0,1326.0,276.0,254.0,14.0,416.0,42.0,14.0,108.0,238.0,451.0,184.0,6966.0,350.7205593,50.07057081,10.42192877,9.591195313,0.528648561,15.70841437,1.585945682,0.528648561,4.078146039,8.987025529,17.03003577,6.94795251,263.0404195,64.0,83.3,79.0,87.4,96.3,92.0,100.4,28.58571429,47.8,47.3,48.2
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2009,12066000000.0,27466101,0.95693779,2.87081337,222.5697788,197512730.0,7.191145551,1.636936267,8940.0,1286.0,381.0,119.0,15.0,331.0,23.0,27.0,140.0,268.0,580.0,146.0,6492.0,325.4921403,46.82135262,13.87164491,4.332613501,0.546127752,12.05121906,0.837395887,0.983029954,5.097192354,9.757482505,21.11693975,5.315643454,236.3640911,63.0,80.0,75.8,84.0,92.2,88.0,96.2,31.44285714,46.5,46.1,47.0
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2010,15325000000.0,28284089,0.952380955,3.82775116,214.6931408,54200550.0,1.91629117,0.353674062,12898.0,2301.0,604.0,272.0,44.0,655.0,173.0,17.0,96.0,393.0,825.0,824.0,8441.0,456.0161015,81.35315937,21.35476239,9.616714189,1.555644942,23.1578963,6.116513069,0.601044637,3.39413442,13.89473778,29.16834267,29.1329871,298.43634,66.0,76.9,72.8,80.8,88.3,84.2,92.3,34.3,45.3,44.9,45.8
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2011,17890000000.0,29347708,0.473933637,4.739336491,229.8557773,57620840.0,1.96338467,0.322084069,17212.0,2809.0,483.6666667,198.0,33.0,556.0,126.0,65.0,124.0,667.0,886.0,367.0,12292.0,586.4853228,95.7144592,16.79795905,6.938190279,1.153047075,19.21225754,4.414985771,2.214823727,4.225202186,22.72749886,30.1897511,12.5052355,418.8402038,68.0,74.0,70.0,77.9,84.6,80.4,88.7,38.6,44.3,43.9,44.8
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2012,20293000000.0,30560034,1.421800971,5.687203884,218.1532425,40863940.0,1.337169324,0.201369635,13683.0,2294.0,363.3333333,124.0,22.0,457.0,79.0,56.0,110.0,444.0,888.0,319.0,9573.0,447.7416485,75.06536151,12.2411557,4.25966637,0.750449208,15.26661878,2.713458473,1.832458694,3.599472435,14.52877965,29.05755929,10.43847006,313.2522693,67.0,71.3,67.2,75.1,81.2,77.1,85.2,39.9,43.5,43.0,43.9
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2013,20170000000.0,31622704,0.947867274,6.161137581,162.9380276,48311350.0,1.527742536,0.239520823,13417.0,1912.0,243.0,50.0,11.0,358.0,32.0,60.0,73.0,367.0,957.0,198.0,9851.0,424.2837678,60.46288768,7.684352356,1.58114246,0.347851341,11.32098001,1.011931175,1.897370952,2.308467992,11.60558566,30.26306669,6.261324142,311.5166875,64.0,68.7,64.7,72.5,78.0,73.8,82.0,42.55,42.9,42.4,43.4
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2014,20616000000.0,32792523,5.288461685,7.211538315,150.7346725,42975260.0,1.310520084,0.20845586,12258.0,1824.0,266.0,111.0,20.0,283.0,34.33333333,39.0,45.0,434.0,976.0,514.0,8426.0,373.8047237,55.62243564,8.119966868,3.292287967,0.596928078,8.630016056,1.049253945,1.189295499,1.372264037,13.23472427,29.76288223,15.67430478,256.9488173,62.0,66.4,62.3,70.2,75.1,70.9,79.1,45.2,42.5,42.0,43.0
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2015,20057000000.0,33831764,5.714285851,6.666666508,126.3376652,169146610.0,4.999639097,0.843329561,11106.0,1352.0,289.0,172.0,29.0,375.5,36.66666667,18.0,58.0,302.0,809.0,293.0,8274.0,328.2713843,39.96244476,8.555581379,5.003433475,0.846004814,11.05840495,1.086576716,0.532044383,1.714365234,8.926522424,23.91243921,8.660500233,244.563068,64.0,64.2,60.3,68.0,72.4,68.3,76.4,50.5,42.2,41.7,42.7
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2016,18020000000.0,34700612,3.809523821,7.619047642,117.2721192,93591320.0,2.697108627,0.519374695,9299.0,1482.0,312.0,233.0,38.0,468.0,39.0,25.0,255.0,365.0,768.0,508.0,6288.0,267.9779826,42.70818048,8.99119589,6.714578982,1.095081551,13.48679384,1.123899486,0.720448389,7.348573564,10.51854647,22.1321745,14.63951126,181.2071787,66.0,62.3,58.3,66.0,70.0,65.8,73.9,51.95,41.9,41.4,42.4
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2017,18883000000.0,35688935,3.809523821,7.142857075,106.8044496,51533900.0,1.443974162,0.272911614,9096.0,1740.0,288.0,327.0,31.0,399.0,50.0,35.0,122.0,406.0,746.0,374.0,6317.0,254.8689111,48.754607,8.069728054,9.162503728,0.868616561,11.17993574,1.400994454,0.980696118,3.418426467,11.37607497,20.90283725,10.47943852,177.0016393,64.0,60.4,56.6,64.1,67.6,63.6,71.5,53.4,41.5,41.0,42.0
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2018,18336000000.0,36743039,4.761904716,7.142857075,103.2165374,119435110.0,3.250550669,0.651369492,9096.0,1740.0,288.0,327.0,31.0,399.0,50.0,35.0,122.0,406.0,746.0,374.0,6317.0,254.8689111,48.754607,8.069728054,9.162503728,0.868616561,11.17993574,1.400994454,0.980696118,3.418426467,11.37607497,20.90283725,10.47943852,177.0016393,68.0,58.6,54.8,62.3,65.4,61.4,69.4,58.8,41.2,40.6,41.7
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2019,18876000000.0,37856121,5.714285851,6.666666508,109.2983051,23404550.0,0.618250084,0.123991047,9096.0,1740.0,288.0,327.0,31.0,399.0,50.0,35.0,122.0,406.0,746.0,374.0,6317.0,254.8689111,48.754607,8.069728054,9.162503728,0.868616561,11.17993574,1.400994454,0.980696118,3.418426467,11.37607497,20.90283725,10.47943852,177.0016393,65.0,56.9,53.1,60.6,63.3,59.2,67.2,60.3,40.9,40.3,41.4
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2020,20136000000.0,39068979,4.761904716,5.238095284,107.7661756,12970150.0,0.331980777,0.064412743,9096.0,1740.0,288.0,327.0,31.0,399.0,50.0,35.0,122.0,406.0,746.0,374.0,6317.0,254.8689111,48.754607,8.069728054,9.162503728,0.868616561,11.17993574,1.400994454,0.980696118,3.418426467,11.37607497,20.90283725,10.47943852,177.0016393,61.0,55.3,51.5,58.9,61.3,57.2,65.3,61.8,40.7,40.2,41.3
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2021,14278000000.0,40000412,12.38095284,5.238095284,117.2915531,20600980.0,0.515019195,0.144284774,9096.0,1740.0,288.0,327.0,31.0,399.0,50.0,35.0,122.0,406.0,746.0,374.0,6317.0,254.8689111,48.754607,8.069728054,9.162503728,0.868616561,11.17993574,1.400994454,0.980696118,3.418426467,11.37607497,20.90283725,10.47943852,177.0016393,55.0,53.6,49.9,57.2,59.3,55.3,63.2,63.7,40.8,40.2,41.3
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2022,14501000000.0,40578842,12.26415062,1.886792421,96.47803752,20600980.0,0.507677868,0.142065926,9096.0,1740.0,288.0,327.0,31.0,399.0,50.0,35.0,122.0,406.0,746.0,374.0,6317.0,254.8689111,48.754607,8.069728054,9.162503728,0.868616561,11.17993574,1.400994454,0.980696118,3.418426467,11.37607497,20.90283725,10.47943852,177.0016393,58.0,52.0,48.3,55.4,57.4,53.4,61.1,65.6,41.1,40.5,41.7
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2023,17248000000.0,41454761,13.679245,1.415094376,73.82339748,20600980.0,0.496950881,0.119439819,13058.09091,2032.264822,376.5533597,296.2727273,37.50988142,393.3972332,53.3083004,35.36758893,150.312253,513.2134387,950.5019763,498.1225296,9476.747036,377.9206792,51.07130298900151,5.042519450019527,12.350582724656041,0.11807445912208468,12.949095078478262,0.06329923954563146,0.638304769481978,2.73177051959966,21.286297731346718,9.446668019495524,15.637616808744268,177.90267755243426,58.92679690385502,5.552744801882453,2.7448307101009677,11.571447836914269,6.750240642496653,3.7480290068127773,5.538630271049655,69.9324688413703,5.912981747328625,9.14280660354858,8.02606899814668
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2024,18080000000.0,42647492,14.99499332,1.485565261,67.13343171,22890609.98,0.536739886,0.126607356,13488.35573,2071.736166,386.483531,302.6432806,38.85671937,390.9466403,53.00065876,35.40909091,155.2332016,531.3833992,978.1126482,517.3863636,9832.048419,388.2865446,51.09745935236942,5.07139271118787,12.370180654908504,-0.014839071107422282,12.974364294537393,0.00017392622734658673,0.6768198120109797,2.7535650319524443,21.300409454150213,9.53333234114296,15.661749542607742,177.936950034789,95.18955153641748,25201700.875183832,313506.61298711895,1230150905.8980188,6866849174.642022,191336.44198763804,128095155.23009676,164.22030467102718,76161.99907544305,12.777879400323675,0.7769209569157961
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2025,18393788748.0,43844111,16.57487982,1.555978355,53.29730758,23301364.4,0.531459388,0.126680613,13918.62055,2111.20751,396.4137022,309.013834,40.20355731,388.4960474,52.69301713,35.45059289,160.1541502,549.5533597,1005.72332,536.6501976,10187.3498,398.6524101,51.127168741476886,6.162440158878312,12.234655777965646,1.4194182647022906,12.93259101073751,0.012562473123856732,1.3080345969108667,2.349747443304576,21.459611016738247,8.949101485979801,15.441553187039128,178.02760677102395,59.92430923570985,17.375109478560738,10.84751214945669,28.92883491514681,16.443308229174214,16.153507065405858,21.994780896780505,97.07863084970195,0.8857156745935664,2.7601192153348477,3.4783238237250003
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2026,18707639608.0,45047069,18.15476632,1.62639145,42.22840423,23712118.82,0.526385386,0.126750992,,,,,,,,,,,,,,,51.3710868658353,6.3181909907004385,12.45557293353656,0.061798255669940336,13.35196312927081,0.004908541495387915,1.3690523065799862,3.294202917138362,21.646843432266035,8.627938619240402,15.926896667382186,178.0828911726252,65.62084453651346,8.032566517717026,3.2377254236156583,25.788648194282274,9.48952291263154,5.13646036122461,10.653463831782949,83.5752957352988,2.0291220044533875,2.5270227355093917,2.7721114228020665
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2027,19021490468.0,46258906,19.73465283,1.696804544,33.3732783,24122873.24,0.521475221,0.126819049,,,,,,,,,,,,,,,51.621013360676656,6.173055885366451,13.060683820153761,-5.211875858516157e-12,13.498365782391303,0.016888755965086648,0.0028757971341341875,6.189598429108311,22.60492226394724,9.200816767370773,16.05872347416185,178.41512747819831,99.02714585262754,6851596.18987671,240415.98540645416,16304942.969984582,20234118937.147343,2277907.961727983,56908746.23369482,19.93297601131845,101.04991208935118,0.09692085871327855,53.41801876966481
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2028,19335341327.0,47470575,21.31453933,1.767217638,26.28917498,24533627.66,0.516817579,0.126884896,,,,,,,,,,,,,,,51.661818006983836,6.48868895199607,13.207008639499977,-5.552992604590437e-12,13.627245194719134,0.024772734395310914,0.023851702740395518,6.149537304459008,22.71844799011371,9.375284607054907,16.180622071795614,178.4962756902153,84.08418726018013,19938617.531649947,869217.4062892778,49783292.15456971,35978587897.25085,3379756.5796811567,148900919.99766633,39.47836401975876,99.67647106629255,0.6436721908814798,28.165705064068916
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2029,19649192187.0,48725717,22.89442583,1.837630733,20.62189024,24944382.08,0.511934634,0.126948639,,,,,,,,,,,,,,,51.77563644621469,6.462431702723745,13.214889752551224,-4.3052940025746675e-12,13.700488303508115,0.03414402628374199,0.033416708773308636,6.130683334435318,22.80008868622244,9.71131326214837,16.274311306633884,178.66218133122462,80.12394532877272,37150136.21790871,1957417.9208029122,77224805.39807566,60568585255.083275,6006589.984796377,280392567.05658543,46.45426284924918,82.08201151600373,0.9391177288881074,27.287717163299305
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2030,19963043047.0,50039402,24.47431233,1.908043827,16.0880608,25355136.5,0.506703428,0.127010378,,,,,,,,,,,,,,,51.92016690686125,6.489340954641244,13.241584937146238,-1.426708981271304e-07,13.793179075993532,0.03676986343916499,0.04126954336949855,6.254288720946706,23.002183993847773,9.839819476485856,16.378960476920156,178.93782443998262,78.6912461277304,44426285.173409216,2432563.494764782,89023473.02679193,70126758561.97612,6944988.082570468,336087386.2854324,50.00449874923313,78.34058367749672,1.119540509647401,26.64151962030211
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2031,20276893907.0,51376001,26.05419883,1.978456922,12.46099591,25765890.92,0.501516086,0.127070206,,,,,,,,,,,,,,,52.09546484003628,6.674104382667111,13.422811254396894,-1.0327721343579304e-07,13.975099261439986,0.036756904945871194,0.023634145220094195,6.341483075501958,23.173137432632466,10.131450793266634,16.57127273799776,179.1077786562717,81.49256582604804,38095150.04002017,2073279.7971039338,68889979.39369053,64296555560.12459,7502495.636093603,295928769.55722076,42.23910050654421,74.31164107164739,0.7121580296812543,32.240552339794796
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2032,20590744766.0,52707848,27.63408533,2.048870016,9.559342947,26176645.34,0.49663658,0.12712821,,,,,,,,,,,,,,,52.22908127892218,6.580049306462977,13.437670117624137,-2.288916211428638e-12,14.055933902445178,0.044126753264527814,0.045483084101392936,6.32272890126851,23.248120631451997,10.438857738973093,16.700248566994386,179.29251792995248,76.75204610503779,71208178.68117368,4477148.592398459,118422552.10880159,103577270722.70427,11692635.815708574,547045562.3381739,54.60474919468261,68.94983137966528,1.279627072968258,27.064934267136035
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2033,20904595626.0,54044254,29.21397183,2.11928311,7.238019724,26587399.76,0.491956088,0.127184473,,,,,,,,,,,,,,,52.369515648384,6.604498511771846,13.562505642891567,-2.194634800211465e-09,14.185513004646062,0.033681025142238606,0.011903708618514227,6.418996512480856,23.365122607717318,10.701490634048657,16.83975409507801,179.44248707434875,84.29855853166994,33527052.452747963,1843436.8279850606,52812191.43895782,60497273301.37919,8778023.78287516,270632443.54668,36.1111019956656,70.65525432828227,0.38754396194402857,37.63660902023413
